Symbol,Date,Close,Volume
BMG,20151201,0.014,400000
BML,20151201,0.006,399000
BMN,20151201,0.035,289371
BNO,20151201,0.495,113163
BNR,20151201,0.028,67743
BOA,20151201,0.17,14500
BOC,20151201,0.22,6100
BOE,20151201,0.039,4293410
BOL,20151201,0.079,468549
BOQ,20151201,13.6,2255461
BPF,20151201,0.405,4032685
BPS,20151201,1.2,114051
BPT,20151201,0.525,17671205
BRG,20151201,6.86,451582
BRK,20151201,0.013,411952
BRL,20151201,0.017,179029
BRN,20151201,0.23,2427332
BRS,20151201,0.9,2604554
BRU,20151201,0.25,100838
BSA,20151201,0.16,204270
BSL,20151201,4.14,2758328
BSM,20151201,0.013,82285
BSR,20151201,0.011,450861
BTC,20151201,0.12,25150
BTI,20151201,0.965,155704
BTT,20151201,13.15,495846
BUG,20151201,0.63,26485
BUL,20151201,0.029,132037
BUX,20151201,0.075,20000
BWF,20151201,0.41,43828
BWP,20151201,3.25,1130912
BWX,20151201,2.75,420308
BXB,20151201,11.15,6884814
BXN,20151201,0.021,1382136
BYI,20151201,1.1,16235
BYL,20151201,0.21,116858
BYR,20151201,0.02,1350000
CAA,20151201,0.11,28001
CAB,20151201,2.79,624421
CAD,20151201,0.002,1500000
CAF,20151201,0.37,7694
CAJ,20151201,0.285,4604389
CAM,20151201,0.855,117405
CAR,20151201,10.5,765461
CAS,20151201,0.155,174257
CAT,20151201,1.685,161447
CAV,20151201,0.009,106660
CAY,20151201,0.045,45000
CBA,20151201,80.99,3556546
CBL,20151201,1.89,21483
CCF,20151201,0.069,757856
CCJ,20151201,0.007,500000
CCL,20151201,9.15,2180180
CCP,20151201,10.41,129440
CCV,20151201,0.505,309784
CCZ,20151201,0.004,1184305
CDA,20151201,0.75,24414
CDB,20151201,0.015,588013
CDM,20151201,1.54,331242
CDP,20151201,6.71,12202
CDV,20151201,0.155,361559
CDY,20151201,0.027,1946714
CEN,20151201,4.62,946
CFE,20151201,0.017,308727
CGC,20151201,2.61,1030951
CGF,20151201,8.68,5845803
CGH,20151201,0.115,75337
CGL,20151201,4.85,11737
CGN,20151201,0.075,146187
CGO,20151201,0.28,20166
CGR,20151201,0.175,890000
CGW,20151201,0.56,96658
CHC,20151201,4.55,1637182
CHF,20151201,0.029,345259
CHP,20151201,0.006,1984000
CHZ,20151201,0.045,599000
CIE,20151201,1,85000
CII,20151201,1.4,1750
CIM,20151201,25.51,869457
CIN,20151201,32.3,4102
CIR,20151201,0.35,557086
CIW,20151201,0.69,5719
CJC,20151201,0.008,55642
CKF,20151201,3.89,282490
CKL,20151201,0.51,25589
CL8,20151201,0.025,359964
CLH,20151201,2,251692
CLQ,20151201,0.14,1611393
CLV,20151201,0.41,134786
CLX,20151201,1.12,3565
