Symbol,Date,Close,Volume
1PG,20151202,3.05,1056930
1ST,20151202,0.1,168570
3DM,20151202,0.067,635060
3PL,20151202,2.14,93791
88E,20151202,0.01,6341249
8EC,20151202,1.04,19917
8IH,20151202,1.01,30800
A2M,20151202,1.055,8474836
AAA,20151202,50.08,43799
AAC,20151202,1.5,634930
AAD,20151202,2.47,1046030
AAR,20151202,0.007,37500
AAX,20151202,0.28,118434
AB1,20151202,0.165,515607
ABA,20151202,5.35,1984
ABC,20151202,4.4,774307
ABP,20151202,2.96,973268
ABU,20151202,0.078,235744
ABX,20151202,0.22,194580
ABY,20151202,0.17,42992
ACB,20151202,0.021,122840
ACG,20151202,0.175,145948
ACL,20151202,0.092,98238
ACQ,20151202,0.82,70000
ACR,20151202,0.68,359223
ACU,20151202,0.125,198373
ACW,20151202,0.049,281166
ACX,20151202,4.88,176584
ADA,20151202,1.955,77290
ADH,20151202,2.7,168729
ADJ,20151202,0.089,228084
ADN,20151202,0.011,510787
ADO,20151202,0.077,592279
ADR,20151202,0.655,18000
ADV,20151202,0.013,5247698
ADY,20151202,0.018,11400
AEF,20151202,59.9,71
AEI,20151202,0.46,30850
AEV,20151202,0.115,88480
AFG,20151202,1.05,38362
AFI,20151202,5.71,291135
AGF,20151202,1.29,169802
AGI,20151202,2.37,328950
AGL,20151202,17.01,1564842
AGO,20151202,0.019,5138471
AGR,20151202,0.15,356200
AGS,20151202,0.029,138000
AHA,20151202,0.003,25112
AHD,20151202,15,46471
AHF,20151202,0.145,1509841
AHG,20151202,4.27,598998
AHL,20151202,0.595,676884
AHY,20151202,1.695,3186739
AHZ,20151202,0.73,219652
AIA,20151202,4.79,83331
AIO,20151202,8.73,1085215
AIZ,20151202,2.53,10157
AJA,20151202,5.15,51789
AJC,20151202,0.002,318293
AJD,20151202,1.28,49323
AJL,20151202,0.26,54074
AJM,20151202,0.047,1926763
AJQ,20151202,0.13,292185
AJR,20151202,0.002,2312500
AJX,20151202,0.885,2076510
AKF,20151202,0.05,7400
AKG,20151202,0.305,12599
AKK,20151202,0.015,200000
AKM,20151202,0.012,6690
AKP,20151202,9.35,3120
AKY,20151202,14.85,115
ALF,20151202,1.34,226330
ALI,20151202,1.795,112507
ALK,20151202,0.245,190445
ALL,20151202,9.6,1995612
ALQ,20151202,3.78,6614850
ALT,20151202,0.005,120001
ALU,20151202,4.96,663193
AMA,20151202,1.03,519976
AMB,20151202,0.18,55000
AMC,20151202,13.55,4273378
AMI,20151202,0.068,1714625
AMP,20151202,5.93,5033995
ANB,20151202,0.04,248500
ANG,20151202,0.245,58342
ANN,20151202,21.77,2200541
ANO,20151202,0.028,147934
ANP,20151202,0.065,399263
ANQ,20151202,0.002,1000000
ANR,20151202,0.98,21114
ANW,20151202,0.005,205052
ANZ,20151202,27.9,5562661
AOG,20151202,3.18,1486537
AOH,20151202,0.1,410362
AOK,20151202,0.057,230435
APA,20151202,8.62,3124881
APD,20151202,0.39,137098
APE,20151202,10.8,32497
APG,20151202,0.006,90330
API,20151202,2.07,1079624
APN,20151202,0.495,685232
APO,20151202,5.43,554811
APW,20151202,0.12,31111
APX,20151202,1.73,167180
APY,20151202,0.012,24993312
APZ,20151202,1.37,4499
AQC,20151202,0.021,4282469
AQD,20151202,0.016,1000000
AQG,20151202,2.65,13415
AQP,20151202,0.23,830167
