Symbol,Date,Close,Volume
BPS,20151203,1.21,22758
BPT,20151203,0.515,7806069
BRB,20151203,0.075,55970
BRC,20151203,0.19,64000
BRG,20151203,7.06,328626
BRK,20151203,0.012,1811249
BRL,20151203,0.016,68800
BRN,20151203,0.245,2889707
BRS,20151203,0.86,3131552
BRU,20151203,0.24,383336
BSA,20151203,0.145,96456
BSE,20151203,0.045,20000
BSL,20151203,4.22,2333352
BSM,20151203,0.013,224007
BSR,20151203,0.011,2342522
BTC,20151203,0.11,240850
BTI,20151203,0.975,14657
BTT,20151203,13.01,432443
BUR,20151203,0.01,160496512
BUY,20151203,0.011,620000
BWF,20151203,0.44,34486
BWP,20151203,3.21,1290613
BWR,20151203,1.24,2297
BWX,20151203,2.75,490802
BXB,20151203,11.03,3017431
BXN,20151203,0.021,9250
BYI,20151203,1.02,10500
BYL,20151203,0.24,98310
BYR,20151203,0.016,2295000
CAA,20151203,0.105,248045
CAB,20151203,2.87,505792
CAD,20151203,0.002,2730660
CAF,20151203,0.37,304233
CAJ,20151203,0.28,3286111
CAM,20151203,0.86,43342
CAP,20151203,0.032,79826
CAR,20151203,10.5,921981
CAS,20151203,0.16,57614
CAT,20151203,1.625,330194
CAV,20151203,0.009,648340
CAY,20151203,0.047,200000
CAZ,20151203,0.03,27091
CBA,20151203,81.5,1902582
CCF,20151203,0.079,1430144
CCL,20151203,9.12,2449855
CCP,20151203,10.24,82509
CCV,20151203,0.505,216712
CCZ,20151203,0.004,2815000
CDA,20151203,0.675,60570
CDB,20151203,0.015,2095447
CDD,20151203,1.795,1885327
CDM,20151203,1.525,305844
CDP,20151203,6.72,8848
CDV,20151203,0.155,2355656
CDY,20151203,0.024,3357615
CEL,20151203,0.027,271302
CEN,20151203,4.62,271504
CFE,20151203,0.019,660500
CGC,20151203,2.7,1010558
CGF,20151203,8.85,4027353
CGH,20151203,0.115,233374
CGL,20151203,4.85,118609
CGN,20151203,0.073,20000
CGO,20151203,0.28,3000
CGS,20151203,0.36,17758
CGW,20151203,0.54,786073
CHC,20151203,4.5,847755
CHF,20151203,0.04,1194000
CHN,20151203,0.11,2029159
CHP,20151203,0.005,791667
CHZ,20151203,0.04,42000
CIE,20151203,0.985,1500
CIM,20151203,25.3,643665
CIN,20151203,32.05,4350
CIR,20151203,0.345,38256
CKF,20151203,4.55,848615
CKL,20151203,0.52,46858
CL8,20151203,0.023,352346
CLH,20151203,1.965,310429
CLQ,20151203,0.17,1759510
CLV,20151203,0.4,190313
CLX,20151203,1.1,20000
CM8,20151203,0.27,1686101
CMA,20151203,1.99,74639
CMP,20151203,0.44,118508
CMW,20151203,1.035,2830857
CMY,20151203,0.008,3539945
CNI,20151203,0.925,23250
CNU,20151203,2.81,24296
CNX,20151203,0.013,128074
COE,20151203,0.18,867298
COF,20151203,0.407,369514
COH,20151203,94.37,136039
COM,20151203,0.02,48000
COO,20151203,0.125,93530
CPU,20151203,11.77,1393934
CQR,20151203,4.14,579192
CRB,20151203,0.066,130000
CSD,20151203,0.042,50000
CSE,20151203,0.24,15700
CSL,20151203,99.14,773316
CSR,20151203,2.97,4620726
CSS,20151203,0.049,160875
CSV,20151203,1.81,1108482
CTD,20151203,11.02,218550
CTM,20151203,0.005,1780903
CTN,20151203,0.95,175736
CTO,20151203,0.017,136959
CTP,20151203,0.155,1044069
CTR,20151203,0.075,1005617
CTT,20151203,0.02,1233333
CTX,20151203,33.7,1146679
CUP,20151203,0.85,151594
CUV,20151203,2.9,24015
CUX,20151203,0.007,374979
CV1,20151203,0.4,108870
CVE,20151203,0.009,12614334
CVN,20151203,0.105,458188
CVO,20151203,2.31,1328535
CVT,20151203,0.26,390694
CVV,20151203,0.1,50824
CVW,20151203,0.95,3400
CWC,20151203,0.68,20000
CWE,20151203,0.045,518704
CWN,20151203,11.64,1278870
CWP,20151203,4.25,50119
CXM,20151203,0.08,118035
CXO,20151203,0.015,551727
CXX,20151203,0.22,32500
CXZ,20151203,0.23,296044
CYA,20151203,0.83,854
CYC,20151203,0.55,12000
CYG,20151203,1.24,23002
CYP,20151203,0.395,724916
CZA,20151203,0.053,20000
CZL,20151203,0.042,1222992
CZN,20151203,0.005,218363
CZZ,20151203,22.59,17552
DAU,20151203,0.013,50000
DCC,20151203,0.14,70466
