Symbol, Date, Open, High, Low, Close, Volume
RCR,20140102,3.66,3.7,3.58,3.65,140788
RCT,20140102,3.85,3.85,3.85,3.85,221
RDF,20140102,1.15,1.155,1.15,1.155,12000
RDM,20140102,0.165,0.175,0.165,0.17,150000
RDR,20140102,0.058,0.058,0.057,0.057,114356
RDV,20140102,29.13,29.19,29.11,29.17,2951
REA,20140102,37.95,38.2,37.28,37.36,147942
REC,20140102,4.1,4.185,4.08,4.18,548776
RED,20140102,0.088,0.088,0.085,0.088,819694
REF,20140102,0.073,0.077,0.073,0.077,132830
REH,20140102,32.5,32.5,32.5,32.5,22506
RES,20140102,0.18,0.19,0.18,0.19,378223
REX,20140102,0.91,0.91,0.905,0.905,10650
RFE,20140102,0.38,0.38,0.36,0.37,279783
RFG,20140102,4.6,4.61,4.57,4.6,181690
RFL,20140102,0.28,0.285,0.28,0.28,689950
RFT,20140102,0.003,0.003,0.003,0.003,723883
RFX,20140102,0.12,0.12,0.12,0.12,15834
RGS,20140102,0.46,0.465,0.445,0.46,469809
RHC,20140102,43.26,43.35,42.49,42.58,172009
RHL,20140102,3.25,3.34,3.25,3.34,27487
RHT,20140102,0.065,0.081,0.065,0.075,22275669
RIC,20140102,0.865,0.89,0.855,0.885,91671
RIM,20140102,0.033,0.033,0.033,0.033,100000
RIO,20140102,68.5,68.93,68.5,68.71,873440
RKN,20140102,2.16,2.2,2.16,2.18,77093
RLE,20140102,0.195,0.2,0.195,0.2,113000
RMD,20140102,5.31,5.33,5.26,5.26,1472016
RMI,20140102,0.002,0.002,0.002,0.002,550000
RMR,20140102,0.01,0.01,0.01,0.01,3334
RMS,20140102,0.097,0.13,0.097,0.13,3171058
RMX,20140102,0.004,0.004,0.004,0.004,1401000
RNC,20140102,0.325,0.335,0.31,0.335,83700
RND,20140102,0.44,0.44,0.44,0.44,1200
RNI,20140102,0.056,0.056,0.056,0.056,44531
RNO,20140102,0.045,0.046,0.045,0.045,193000
RNS,20140102,0.056,0.056,0.051,0.052,1005000
RNU,20140102,0.088,0.088,0.088,0.088,100000
RNY,20140102,0.315,0.315,0.315,0.315,32975
ROC,20140102,0.485,0.495,0.485,0.495,542009
ROG,20140102,0.002,0.002,0.002,0.002,450370
ROL,20140102,0.35,0.36,0.35,0.36,37000
ROY,20140102,0.047,0.047,0.047,0.047,42800
RQL,20140102,0.13,0.13,0.13,0.13,1500
RRL,20140102,2.97,3.1,2.93,3.08,2111913
RRS,20140102,0.025,0.025,0.024,0.025,274000
RSG,20140102,0.55,0.635,0.545,0.635,2000270
RTA,20140102,0.205,0.205,0.2,0.2,100950
RUL,20140102,0.7,0.715,0.7,0.715,52328
RUM,20140102,0.15,0.15,0.15,0.15,3392
RVA,20140102,0.48,0.48,0.48,0.48,1250
RVY,20140102,0.02,0.02,0.02,0.02,148076
RWD,20140102,0.425,0.46,0.425,0.46,9559
RWH,20140102,3.24,3.24,3.24,3.24,4398
RXL,20140102,0.033,0.033,0.032,0.032,256865
RXM,20140102,0.49,0.5,0.48,0.49,51055
RXP,20140102,0.74,0.75,0.74,0.75,23754
SAI,20140102,3.92,3.92,3.82,3.85,246199
SAR,20140102,0.19,0.21,0.19,0.21,2266275
SAV,20140102,0.013,0.013,0.013,0.013,25000
SBB,20140102,0.205,0.205,0.205,0.205,30000
SBM,20140102,0.265,0.302,0.265,0.3,4300708
SCC,20140102,0.66,0.67,0.65,0.67,131415
SCI,20140102,0.09,0.09,0.088,0.088,38330
SCP,20140102,1.55,1.56,1.545,1.56,285780
SDF,20140102,1.675,1.73,1.675,1.7,119572
SDG,20140102,1.37,1.395,1.36,1.375,110361
SDI,20140102,0.755,0.76,0.755,0.76,27045
SDL,20140102,0.096,0.096,0.094,0.095,6925198
SDM,20140102,0.68,0.71,0.677,0.7,241299
SEA,20140102,0.98,0.99,0.975,0.98,205165
SEH,20140102,0.2,0.2,0.195,0.195,1042343
SEK,20140102,13.49,13.59,13.2,13.26,641542
SEN,20140102,0.047,0.047,0.047,0.047,150000
SER,20140102,0.025,0.025,0.025,0.025,59666
SFH,20140102,0.91,0.925,0.91,0.925,62814
SFR,20140102,6.53,6.84,6.48,6.81,415105
SFW,20140102,0.72,0.72,0.72,0.72,71
SFX,20140102,0.55,0.57,0.55,0.57,47500
SFY,20140102,53.32,53.58,53.29,53.32,2188
SFZ,20140102,0.055,0.055,0.055,0.055,10140000
SGH,20140102,4.84,4.92,4.795,4.81,573649
SGM,20140102,10.86,11.17,10.78,11.17,535488
SGN,20140102,1.48,1.535,1.48,1.495,324870
SGP,20140102,3.62,3.67,3.62,3.65,3187085
SGQ,20140102,0.099,0.099,0.095,0.095,61000
SGT,20140102,3.25,3.265,3.24,3.24,1115992
SGZ,20140102,0.007,0.007,0.007,0.007,25500
SHD,20140102,0.125,0.125,0.125,0.125,130000
SHE,20140102,0.01,0.01,0.01,0.01,20000
SHH,20140102,0.19,0.19,0.19,0.19,20000
SHJ,20140102,1.8,1.85,1.8,1.85,4500
SHK,20140102,0.005,0.005,0.005,0.005,10414
SHL,20140102,16.5,16.58,16.42,16.45,768736
SHV,20140102,5.56,5.78,5.56,5.7,475659
SIP,20140102,0.65,0.66,0.642,0.66,813510
SIR,20140102,2.28,2.375,2.28,2.29,407145
SIV,20140102,5.26,5.31,5.24,5.24,61839
SKC,20140102,3.7,3.7,3.52,3.57,224615
SKE,20140102,3.4,3.45,3.32,3.45,195796
SKI,20140102,1.63,1.63,1.61,1.62,1626504
SKT,20140102,5.6,5.6,5.44,5.44,91665
SLF,20140102,9.08,9.22,9.08,9.1,35492
SLK,20140102,1.56,1.56,1.56,1.56,7249
SLM,20140102,2.15,2.19,2.15,2.19,114989
SLR,20140102,0.54,0.635,0.54,0.635,6033141
SLT,20140102,0.007,0.007,0.007,0.007,183674
SLX,20140102,2.31,2.33,2.28,2.33,21984
SMA,20140102,0.029,0.029,0.025,0.025,1848490
SMD,20140102,0.033,0.033,0.033,0.033,33000
SMI,20140102,0.105,0.105,0.1,0.1,7646
SMN,20140102,0.165,0.165,0.155,0.155,43031
SMR,20140102,0.19,0.19,0.18,0.19,122999
SMX,20140102,4.05,4.23,4.05,4.15,278646
SNC,20140102,0.955,0.96,0.955,0.955,56639
SND,20140102,0.92,0.92,0.92,0.92,2000
SNL,20140102,1.99,1.99,1.975,1.99,5995
SNV,20140102,0.002,0.002,0.002,0.002,1135000
SNY,20140102,0.425,0.425,0.425,0.425,22000
SOC,20140102,0.165,0.165,0.155,0.165,137710
SOL,20140102,14.74,14.95,14.6,14.95,18388
SOM,20140102,1.1,1.15,1.1,1.1,17445
SOO,20140102,0.013,0.013,0.011,0.011,140000
SPI,20140102,0.012,0.012,0.012,0.012,42500
SPL,20140102,0.87,0.875,0.85,0.87,189546
SPN,20140102,1.245,1.255,1.22,1.245,3863127
SRI,20140102,0.055,0.055,0.055,0.055,559555
SRM,20140102,0.21,0.215,0.21,0.215,1194841
SRQ,20140102,0.009,0.009,0.009,0.009,1390123
SRV,20140102,3.98,4.05,3.98,4,2878
SRX,20140102,11.75,11.82,11.63,11.66,56086
SSM,20140102,0.19,0.195,0.19,0.19,85967
SSN,20140102,0.022,0.023,0.022,0.023,29474
SSO,20140102,11.61,11.61,11.61,11.61,10436
SST,20140102,31,31,31,31,200
STB,20140102,0.21,0.21,0.21,0.21,2217
STO,20140102,14.74,14.74,14.64,14.67,1344384
STP,20140102,1.29,1.29,1.29,1.29,4317
STS,20140102,0.53,0.53,0.53,0.53,27462
STW,20140102,49.84,50.11,49.82,49.97,66673
STX,20140102,0.091,0.091,0.091,0.091,126115
SUD,20140102,0.079,0.083,0.077,0.077,9048022
SUH,20140102,0.05,0.05,0.05,0.05,77566
SUL,20140102,13.38,13.38,12.65,12.65,476000
SUN,20140102,13.16,13.25,13.1,13.1,1080232
SUR,20140102,0.026,0.027,0.026,0.026,644655
SVL,20140102,0.006,0.006,0.006,0.006,74980
SVW,20140102,8.1,8.1,7.98,8.05,127290
SWE,20140102,0.31,0.315,0.305,0.305,50919
SWJ,20140102,0.2,0.2,0.2,0.2,740000
SWK,20140102,0.295,0.3,0.295,0.3,180254
SWL,20140102,1.225,1.24,1.225,1.24,10515
SWM,20140102,2.37,2.4,2.35,2.38,816137
SXA,20140102,0.35,0.35,0.35,0.35,25000
SXE,20140102,0.75,0.8,0.75,0.79,26200
SXG,20140102,0.014,0.014,0.014,0.014,100000
SXL,20140102,1.7,1.71,1.69,1.7,486016
SXY,20140102,0.74,0.74,0.73,0.73,457653
SYA,20140102,0.003,0.003,0.002,0.002,1367224
SYD,20140102,3.8,3.83,3.79,3.79,2758363
SYI,20140102,29.89,29.95,29.83,29.88,4356
SYP,20140102,0.016,0.016,0.016,0.016,500000
SYR,20140102,3.1,3.1,3.03,3.03,84755
SZG,20140102,0.11,0.11,0.11,0.11,500000
TAH,20140102,3.64,3.65,3.63,3.64,374181
TAM,20140102,0.022,0.023,0.021,0.023,420207
TAN,20140102,0.48,0.48,0.475,0.475,14000
TAP,20140102,0.505,0.52,0.5,0.5,230409
TAW,20140102,0.033,0.033,0.032,0.032,673145
TBR,20140102,2.34,2.34,2.33,2.33,4287
TCL,20140102,6.83,6.86,6.8,6.81,1160198
TCN,20140102,0.075,0.076,0.075,0.076,32444
TCQ,20140102,0.265,0.265,0.26,0.26,7408
TEG,20140102,0.007,0.007,0.007,0.007,400000
TEL,20140102,2.19,2.2,2.15,2.16,376356
TEN,20140102,0.28,0.285,0.275,0.285,5246160
TEY,20140102,0.034,0.034,0.033,0.033,20397
TFC,20140102,1.025,1.13,1.025,1.13,1026079
TFS,20140102,0.12,0.125,0.12,0.125,256836
TGA,20140102,2.18,2.185,2.16,2.16,162953
TGG,20140102,1.4,1.4,1.39,1.395,85799
TGP,20140102,0.61,0.615,0.6,0.6,7935
TGR,20140102,3.3,3.34,3.27,3.31,91015
TGS,20140102,0.345,0.345,0.335,0.335,1479814
TGZ,20140102,0.55,0.58,0.55,0.58,339965
THR,20140102,0.005,0.005,0.004,0.004,200
THX,20140102,0.038,0.038,0.038,0.038,100000
TIS,20140102,0.31,0.32,0.31,0.31,367513
TIX,20140102,2.06,2.09,2.05,2.07,41296
TLG,20140102,0.068,0.07,0.068,0.07,231120
TLM,20140102,0.11,0.11,0.11,0.11,60000
TLS,20140102,5.26,5.28,5.25,5.26,8456702
TLU,20140102,0.075,0.075,0.07,0.07,448228
TME,20140102,3.76,3.8,3.76,3.79,205000
TMK,20140102,0.001,0.001,0.001,0.001,600000
TMM,20140102,1.41,1.41,1.41,1.41,100
TNE,20140102,2.3,2.33,2.3,2.33,58625
TNG,20140102,0.045,0.047,0.045,0.046,185000
TNR,20140102,0.003,0.003,0.003,0.003,44900
TOE,20140102,0.079,0.079,0.077,0.077,302610
TOL,20140102,5.71,5.75,5.65,5.71,799494
TOP,20140102,0.53,0.53,0.53,0.53,54745
TOU,20140102,0.31,0.33,0.31,0.31,62719
TOX,20140102,3.49,3.5,3.44,3.5,35802
TPC,20140102,0.095,0.095,0.095,0.095,3081
TPI,20140102,1.17,1.185,1.17,1.18,1673778
TPM,20140102,5.37,5.42,5.33,5.4,663996
TPP,20140102,0.04,0.04,0.04,0.04,77550
TPR,20140102,0.06,0.06,0.06,0.06,255000
TPT,20140102,0.24,0.24,0.24,0.24,520155
TRF,20140102,0.099,0.099,0.096,0.096,24042
TRG,20140102,8.91,8.91,8.65,8.74,9007
TRS,20140102,17.44,17.65,17.39,17.5,65921
TRY,20140102,0.81,0.855,0.805,0.85,1072557
TSE,20140102,0.9,0.905,0.88,0.89,1754342
TSM,20140102,0.36,0.36,0.36,0.36,41632
TSN,20140102,0.009,0.009,0.009,0.009,522556
TSV,20140102,0.004,0.004,0.004,0.004,1683480
TTE,20140102,0.03,0.03,0.03,0.03,124500
TTI,20140102,0.066,0.07,0.065,0.07,660577
TTN,20140102,2.55,2.55,2.43,2.47,247992
TTS,20140102,3.1,3.11,3.08,3.09,939108
TUC,20140102,0.036,0.036,0.036,0.036,23300
TWD,20140102,2.78,2.78,2.65,2.65,26175
TWE,20140102,4.82,4.84,4.78,4.8,1083962
TZL,20140102,0.12,0.12,0.12,0.12,180000
TZN,20140102,0.028,0.028,0.028,0.028,400000
UBI,20140102,0.45,0.48,0.45,0.465,36380
UGL,20140102,7.28,7.28,7.04,7.19,718492
UML,20140102,0.042,0.044,0.041,0.044,499584
UNS,20140102,0.81,0.825,0.795,0.805,370401
UNV,20140102,0.11,0.11,0.11,0.11,50000
UNX,20140102,0.17,0.175,0.165,0.175,176557
UOS,20140102,0.55,0.55,0.55,0.55,48000
URF,20140102,1.95,1.95,1.935,1.95,15282
USD,20140102,11.14,11.14,11.05,11.05,22313
UXC,20140102,1,1.03,0.995,1.025,321282
VAF,20140102,48.99,48.99,47.51,47.51,972
VAH,20140102,0.39,0.39,0.385,0.39,487679
VAP,20140102,58.3,58.93,57.11,57.37,4564
VAS,20140102,68.65,68.65,67.53,67.98,16288
VEC,20140102,0.023,0.023,0.023,0.023,2750
VED,20140102,1.91,1.92,1.9,1.905,924258
VEI,20140102,0.695,0.695,0.685,0.69,216181
VET,20140102,2.06,2.1,2.06,2.09,139913
VEU,20140102,56.71,57.51,56.59,57.2,3665
VGB,20140102,47,47,46.39,46.46,10000
VGE,20140102,51.71,51.76,51.63,51.63,1052
VHL,20140102,0.012,0.013,0.012,0.012,3000000
VHY,20140102,65.85,65.85,65.28,65.79,15347
VIE,20140102,0.36,0.38,0.36,0.38,30000
VII,20140102,0.12,0.12,0.105,0.105,34590
VLA,20140102,0.31,0.31,0.31,0.31,18000
VLC,20140102,60.92,60.92,60.92,60.92,476
VLW,20140102,1.88,1.88,1.835,1.85,60034
VMG,20140102,0.01,0.01,0.009,0.009,952951
VMS,20140102,0.165,0.18,0.165,0.18,20000
VMT,20140102,0.033,0.036,0.033,0.035,43677911
VOC,20140102,3.57,3.72,3.55,3.7,377521
VOR,20140102,0.005,0.005,0.004,0.004,1825000
VRL,20140102,7.61,7.61,7.47,7.56,131355
VRT,20140102,8.82,8.82,8.61,8.74,36138
VSO,20140102,44.98,45.02,44.93,44.93,2191
VTG,20140102,0.685,0.685,0.66,0.68,5520
VTM,20140102,0.07,0.07,0.07,0.07,110000
VTS,20140102,108.15,108.57,108,108.48,3350
VTX,20140102,0.002,0.002,0.002,0.002,1000000
WAA,20140102,1.205,1.22,1.205,1.22,57284
WAC,20140102,0.04,0.04,0.04,0.04,25000
WAM,20140102,1.97,1.99,1.95,1.99,119388
WAX,20140102,1.12,1.14,1.12,1.13,169327
WBA,20140102,1.095,1.1,1.087,1.095,24058
WBC,20140102,32.45,32.49,32.185,32.34,2265182
WCB,20140102,9.26,9.26,9.25,9.25,46002
WCC,20140102,0.16,0.16,0.16,0.16,50000
WCL,20140102,0.19,0.19,0.185,0.185,14997
WDC,20140102,10.11,10.24,10.09,10.17,3499411
WDR,20140102,0.735,0.742,0.735,0.735,95187
WDS,20140102,0.855,0.87,0.855,0.865,56371
WEB,20140102,3.16,3.17,3.06,3.1,252920
WEC,20140102,0.185,0.19,0.18,0.18,739503
WEG,20140102,0.005,0.005,0.005,0.005,35500
WES,20140102,44.1,44.3,44,44.05,665920
WFE,20140102,0.03,0.031,0.03,0.031,100000
WHC,20140102,1.925,1.975,1.915,1.96,1674049
WHE,20140102,0.03,0.036,0.03,0.033,5421168
WHF,20140102,3.97,3.97,3.96,3.96,6103
WHN,20140102,0.01,0.01,0.009,0.01,2659011
WIC,20140102,1.225,1.24,1.22,1.235,37250
WIN,20140102,0.21,0.21,0.2,0.2,110000
WLL,20140102,2.62,2.65,2.61,2.62,52950
WLR,20140102,0.005,0.005,0.005,0.005,106879
WMK,20140102,1.02,1.02,1.015,1.015,20000
WMN,20140102,0.125,0.125,0.125,0.125,10000
WOF,20140102,0.07,0.07,0.07,0.07,200000
WOR,20140102,16.77,16.98,16.55,16.85,570972
WOW,20140102,33.95,34.1,33.89,33.89,856559
WPG,20140102,0.029,0.029,0.029,0.029,27996
WPL,20140102,38.87,39.15,38.48,38.56,1705738
WRT,20140102,2.98,3.005,2.98,2.99,3164915
WSA,20140102,2.39,2.45,2.36,2.43,487833
WTF,20140102,2.82,2.84,2.71,2.76,714358
WTP,20140102,0.96,0.99,0.96,0.985,73602
WTR,20140102,0.09,0.09,0.09,0.09,4000
XAM,20140102,0.063,0.07,0.063,0.07,60000
XCD,20140102,0.135,0.135,0.135,0.135,41600
XRF,20140102,0.29,0.29,0.29,0.29,1457
XRO,20140102,30.48,30.48,29,30.16,5257
XTE,20140102,0.042,0.042,0.041,0.041,1034414
YAL,20140102,0.76,0.76,0.725,0.725,18420
YBR,20140102,0.555,0.555,0.54,0.54,45000
YOW,20140102,0.185,0.185,0.185,0.185,100000
YRR,20140102,0.011,0.011,0.01,0.01,431000
YTC,20140102,0.225,0.225,0.22,0.22,99903
ZER,20140102,0.52,0.52,0.52,0.52,1652
ZGL,20140102,0.255,0.28,0.255,0.275,937487
ZIM,20140102,7.15,7.24,7.15,7.24,327
ZMG,20140102,0.048,0.05,0.048,0.05,100000
ZNC,20140102,0.1,0.11,0.1,0.11,340000
ZRL,20140102,0.067,0.067,0.055,0.055,9867
XAF,20140102,5457.8,5490.1,5457.8,5472.3,0
XAO,20140102,5353.1,5383.4,5353.1,5369.8,0
XAT,20140102,5304.7,5335.5,5304.7,5320.6,0
XDJ,20140102,1831.1,1842.6,1830.5,1833.3,0
XEC,20140102,1118.5,1139.7,1118.5,1135.7,0
XEJ,20140102,13622.9,13711.1,13609.2,13609.2,0
XFJ,20140102,5875.7,5912.9,5867.7,5887.2,0
XFL,20140102,5526.9,5559.9,5526.9,5541.7,0
XGD,20140102,1898.4,2038.6,1898.4,2037.2,0
XHJ,20140102,14367.3,14419.6,14320.7,14324.1,0
XIJ,20140102,741.5,750.4,739.7,745.4,0
XJO,20140102,5352.2,5383.4,5352.2,5367.9,0
XJR,20140102,4186.3,4229.3,4186.3,4220.8,0
XKO,20140102,5304.8,5335.4,5304.8,5320.8,0
XMD,20140102,4349.5,4375.3,4349.5,4360.8,0
XMJ,20140102,10209.7,10339.4,10209.7,10318.2,0
XMM,20140102,3339.3,3388.1,3339.3,3381,0
XNJ,20140102,3968.9,3988.5,3963.8,3973.4,0
XPJ,20140102,984.9,996.2,984.9,992.5,0
XSJ,20140102,10016,10077.7,10016,10025,0
XSO,20140102,2193.6,2214,2193.6,2209.2,0
XTJ,20140102,1821.6,1831.7,1821.4,1825,0
XTL,20140102,3378.4,3397.5,3377.4,3385.4,0
XTO,20140102,4445.2,4470.9,4445.2,4457.1,0
XUJ,20140102,5379.5,5406.2,5363,5386.1,0
XXJ,20140102,6981.6,7024,6963.4,6989,0
